"","rstudent","dffits","cook.d","cov.r","tau2.del","QE.del","hat","weight","inf"
"113",0.226027297624762,0.0124200370074361,0.000154486004125935,1.00450846170896,0.807162634861056,1233.60533578513,0.00212360499733172,0.212360499733172,""
"114",1.58321261702935,0.0635301114860701,0.00403096678405169,0.999213731597444,0.801651499856867,1230.13792052095,0.00171979087795391,0.17197908779539,""
"115",0.587064037796775,0.0285405336237262,0.000815457456377011,1.00389219547188,0.806474250550085,1233.20056226169,0.00211808055306006,0.211808055306006,""
"116",0.519845936369249,0.0256170357907464,0.000657023892855992,1.00406452222198,0.806661316784167,1233.31080589077,0.00212440972824798,0.212440972824798,""
"117",1.32950775817344,0.0565829355595355,0.00319940811192468,1.00062226280494,0.803060465692456,1231.10528152039,0.00187794242739708,0.187794242739708,""
"118",0.658141676163817,0.0435544984654712,0.00190309303931725,1.00673025110662,0.807639043357757,1232.08342723014,0.00391079573512805,0.391079573512805,""
"119",0.59196050578059,0.0396995679508378,0.00158174876578842,1.00707697219855,0.808028367125543,1232.44510654916,0.00391200317872148,0.391200317872148,""
"120",-0.358408371520248,-0.0179496472639974,0.000323164416132128,1.00643673804002,0.808022735476808,1232.9119396707,0.00328109876389443,0.328109876389443,""
"121",1.47661237218605,0.0819077162986828,0.00668342562457118,0.999426389617052,0.800085289088042,1227.62906907902,0.00331729128132912,0.331729128132912,""
"122",0.476688196893562,0.0303906530491761,0.00092649329283906,1.00656188497447,0.808054254628636,1233.19950952177,0.00337761385811195,0.337761385811194,""
"123",-0.131149558052326,-0.00458165998261282,2.10898341425715e-05,1.00801599105637,0.809228039288077,1233.31534536592,0.00378726838627705,0.378726838627705,""
"126",0.512395225347036,0.034599464393835,0.00120173902654584,1.00727844900008,0.808353033071132,1232.88744660934,0.0038259514161466,0.38259514161466,""
"129",0.278754337797891,0.020131147132275,0.000406974337961787,1.00761036283662,0.808938886371764,1233.5352681123,0.00363922836365569,0.363922836365568,""
"130",-1.1587407787665,-0.0685555531182873,0.00469184118535883,1.00161052453308,0.802516855005265,1228.22079805041,0.0033420547056157,0.33420547056157,""
"131",2.68479789926224,0.131758887943242,0.0170382964523603,0.982616993375381,0.781425697317757,1215.26781903664,0.00309296551560883,0.309296551560883,""
"132",1.72390901548108,0.0957810555123161,0.00910766662428972,0.996374561285143,0.796474365189032,1224.31291304973,0.00347168140374431,0.347168140374431,""
"133",0.755256709035946,0.0473589261833224,0.00224785151153568,1.00573433822004,0.806827777252757,1231.96338306987,0.00363682908926883,0.363682908926883,""
"134",1.6517761337439,0.0925558874143337,0.00851207450432838,0.997283092684946,0.797474750512462,1224.99864466569,0.00349141714913033,0.349141714913033,""
"142",-2.64236348483245,-0.176113259847333,0.0302632984393311,0.979420165435874,0.777431715722744,1206.89991669406,0.00344758143282068,0.344758143282067,"*"
"143",-2.09801485556746,-0.139647680608111,0.0191928613001036,0.988841876380443,0.787799973220984,1213.12414070149,0.00364617494028025,0.364617494028025,""
"144",0.306852074463663,0.0242981810944941,0.000593993499798888,1.00913381028229,0.809782159125837,1233.25336535634,0.00440946052639953,0.440946052639953,""
"145",-0.0655532279304525,-0.000213207152991378,4.57496099350503e-08,1.00940340977915,0.8100992078728,1233.11833428363,0.00439787422723136,0.439787422723136,""
"146",0.642457410799281,0.0454152940981742,0.00207118464478072,1.00766755495667,0.808127471606458,1230.25625238843,0.00441118457300137,0.441118457300136,""
"147",0.301772992828882,0.0239713962789166,0.000578133647347484,1.00914710585438,0.809797248232361,1233.27590484523,0.0044093709172396,0.44093709172396,""
"148",-0.0914818852374713,-0.00196060291375153,3.8685117522403e-06,1.00936902438087,0.810061789314832,1232.9786654519,0.00439668975717233,0.439668975717233,""
"149",0.845249463161872,0.057711450222761,0.00333834785609179,1.00622479334792,0.806504793336455,1227.07127504611,0.00440822829716164,0.440822829716164,""
"150",0.510045414833348,0.0371964729854568,0.00139065299953605,1.00838405447441,0.80893471918397,1231.78994685467,0.00441149150539258,0.441149150539258,""
"151",0.293512937227025,0.0234394982263795,0.000552776984780212,1.00916816026827,0.809821151790136,1233.31109466255,0.00440922114109464,0.440922114109464,""
"152",-0.635489018200804,-0.0397815724946183,0.00158802697340341,1.00707475896922,0.807516737743398,1226.76076704558,0.00436062987826417,0.436062987826417,""
"153",0.911707619387434,0.0616633392299932,0.00380843887215812,1.00566193659412,0.805872336917132,1225.82303658641,0.00440660758363428,0.440660758363428,""
"154",0.472725266967255,0.0348532575393356,0.00122122806813627,1.00855357972619,0.8091259710731,1232.14046855633,0.00441134573680793,0.441134573680793,""
"155",0.741083269326829,0.0514397814913701,0.00265490729263786,1.00701781810945,0.807396378715598,1228.82894988996,0.00441012181103803,0.441012181103803,""
"156",0.778344084332352,0.0467367413666806,0.00218822913734323,1.00518920883718,0.806522244196928,1232.16536676753,0.00336477231609785,0.336477231609784,""
"157",0.368483100230348,0.0243450010469478,0.00059472337974714,1.00687266038786,0.808406291679962,1233.42414456434,0.00337597130040201,0.337597130040201,""
"158",1.38664377661648,0.0768536225504299,0.00589005906949807,1.00036069024278,0.801202404960295,1228.58340593315,0.00325991797876281,0.32599179787628,""
"159",0.683746023893025,0.0416977633789994,0.00174268231835136,1.00569839808387,0.807088206936665,1232.55189857879,0.00337157121974037,0.337157121974037,""
"162",-0.052762302726117,0.000104349068182209,1.09292170016277e-08,1.00714901858347,0.808760118216569,1233.53877387584,0.00333857703467389,0.333857703467389,""
"163",1.44088530618248,0.0793217472495705,0.00627135175392636,0.999815610039077,0.800605050346247,1228.19509759782,0.00324538892292278,0.324538892292278,""
"164",0.397980628233641,0.0260016652591252,0.000678368374795107,1.00679761520698,0.808320854771773,1233.37082263971,0.00337674437723719,0.337674437723719,""
"165",0.527155489224428,0.0331796398338567,0.00110415279735757,1.00638371876986,0.807853912434855,1233.06764676165,0.00337725568052074,0.337725568052074,""
"166",-0.586355668920995,-0.0332734015108617,0.00111004702558761,1.00612582136057,0.807285729730027,1231.54893067321,0.00362195570908568,0.362195570908568,""
"167",-1.53870243259015,-0.0936964988444683,0.00872988745123393,0.99759154315943,0.798010158288339,1224.6623561447,0.00332543222793554,0.332543222793554,""
"168",-1.87427289234614,-0.114026771176609,0.0128842122133358,0.993462860684402,0.79352608564157,1221.90559776959,0.00318121203118865,0.318121203118864,""
"169",-1.0662930238606,-0.0639401429297769,0.00408433033944383,1.0025478860147,0.803400469929125,1228.39679103538,0.00349383619539957,0.349383619539957,""
"173",-2.99078055916906,-0.065966590293269,0.00434917332088981,0.996115769696206,0.799599742877071,1223.51512304032,0.000437537785627381,0.0437537785627381,""
"174",-3.25711707926866,-0.0422483651448219,0.00178476405823486,0.99819756031653,0.802267067582743,1222.49909188099,0.000155980181683892,0.0155980181683892,""
"175",-1.3363929839454,-0.0565038522092383,0.00318973780381814,0.999832109695779,0.802381296725712,1230.51909459284,0.00169073985382755,0.169073985382755,""
"176",-2.33272648171533,-0.0697314370967197,0.00485734626956769,0.99634481656857,0.79944599140113,1226.77362293194,0.000805002361531981,0.0805002361531981,""
"177",-0.541222377219791,-0.0323789527134855,0.00105242445158592,1.00732950694842,0.808021479542367,1230.05121447887,0.0041688677261792,0.41688677261792,""
"178",0.533298208696343,0.0377906864160695,0.00143466812841056,1.00793564316903,0.808635826156675,1232.23158459537,0.00422947050779674,0.422947050779674,""
